,Dealer ID,Dealer Name,Assigned SM,Assigned SM,#DB Cancelled,#DB Closed,#DB Open,#DB Overdue,AUM,Total Outstanding Principal,Open Principal,Overdue Principal,Avg Loan Age,Avg Repayment Tenure,Avg DPD Age,Earliest Overdue Date,Status,Reason,Date of Blacklisting,Date of Hold,Mulitple Failure Date,# Of Inspections,# Inspections Passed,# Inspections Failed,Concentration,Max Open DPD,Min Open DPD,Latest Insection Date,Open Total Inspections,Open Passed Inspections,Open Failed Inspections,Open Confirmed Sold Units,Multiple Failures,Blacklisted Date,Remarks,Reassessed,Blacklist Stamp
,IF0053,TRIPLE R VEHICLE TRADING,Albert Dalupang,Marlon Llamas,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45901,,0,0,0,0,0,0,,0,0,0,0,No
,IF0054,SHV AUTOBASE,Malou Alfonso,Myrnalyn Bankingkito,0,10,1,0,300000,300000,300000,0,45.09090909,,1,,Open,,,,,6,5,1,0.001033191279,0,0,,0,0,0,0,No
,IF0055,R ZABLAN AUTO TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,96,20,0,6267310,6586510,6586510,0,63.24347826,,1.78582702,46270.71181,Open,,,,,262,228,34,0.02158443345,3.288194444,2,46253,38,36,2,0,No
,IF0056,ALTUS CARS FINANCIAL CONSULTANCY SERVICES,Albert Dalupang,Malou Alfonzo,0,37,0,20,7329830,7329830,0,7329830,250.3684211,,332.5428571,45694,Blacklisted,15 DPD,45694,,,272,69,203,0.02524372144,580,550,45895,228,44,184,0,Yes,,,,45694
,IF0057,1 G CAR AGENT SERVICES,Marah Luriely A. Villaruz,Elvira Ladea,0,10,0,0,0,0,0,0,48.7,,4,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46157,,15,13,2,0,0,0,,0,0,0,0,No
,IF0058,RAMZO AUTO TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45917,,0,0,0,0,0,0,,0,0,0,0,No
,IF0059,1WAY CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,8,0,0,0,0,0,0,9.875,,,,Open,,,,,0,0,0,0,0,0,,0,0,0,0,No
,IF0060,KOTSEKO CAR TRADING,Albert Dalupang,Zhesa Resurrecion,0,2,0,0,0,0,0,0,17.5,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46157,,1,0,1,0,0,0,,0,0,0,0,No
,IF0061,PAULO AND DANNA AUTO TRADING,Malou Alfonso,Myrnalyn Bankingkito,0,36,0,1,668573.75,668573.75,0,668573.75,70.72972973,,37.78571429,46104,Blacklisted,15 DPD,46104,,,61,33,28,0.00230254856,170,170,46140,1,0,1,0,No,,,,46190.65122
,IF0062,AE AUTOS QUALITY PRE-OWNED CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45910,,0,0,0,0,0,0,,0,0,0,0,No
,IF0063,G SQUAD CARPORT AUTO SHOP,Marah Luriely A. Villaruz,Elvira Ladea,0,1,0,0,0,0,0,0,9,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45884,,0,0,0,0,0,0,,0,0,0,0,No
,IF0064,J8 CAR TRADING,Albert Dalupang,Zhesa Resurrecion,0,3,0,0,0,0,0,0,128.6666667,,46,,Blacklisted,Manual,46006,,,4,4,0,0,0,0,,0,0,0,0,No,46006,Emailed Endorsement,,46190.65122
,IF0065,MJO CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,209,0,38,16859273.86,16859273.86,0,16859273.86,73.83805668,,86.13513514,46097,Blacklisted,15 DPD,46097,,,206,113,93,0.05806284908,177,146,46154,42,0,42,19,Yes,,,,46190.65122
,IF0066,AUTOCOTTO CAR TRADING,Malou Alfonso,Myrnalyn Bankingkito,1,42,1,3,1438200,1438200,324000,1114200,98.58695652,,38.54166667,46169,Blacklisted,15 DPD,46169,,,83,43,40,0.004953118992,105,93,46262,13,4,9,6,Yes,,,46058,46190.65122
,IF0067,DC CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,37,6,0,1646050,1646050,1646050,0,49.1627907,,9,46271,Hold,Multiple Failure Audits,,,,46,33,13,0.00566894835,3,3,46272,14,9,5,1,Yes
,IF0068,RJDM AUTO CARE SERVICES,Albert Dalupang,Zhesa Resurrecion,1,20,3,0,1258640,1258640,1258640,0,45.73913043,,,,Open,,,,,33,24,9,0.004334719572,0,0,46262,4,3,1,0,No
,IF0069,ONETEN CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,8,2,0,783400,783400,783400,0,39.8,,,,Open,,,,,10,7,3,0.002698006827,0,0,46247,1,1,0,0,No
,IF0070,AUTO WEALTH MARKETING CONSULTANCY,Albert Dalupang,Malou Alfonzo,0,24,0,0,0,0,0,0,73.04166667,,62.5,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46030,,91,41,50,0,0,0,,0,0,0,1,No
,IF0071,PRINCE CAR TRADING,Albert Dalupang,Zhesa Resurrecion,0,9,0,1,600000,600000,0,600000,93.2,,144.3333333,46007,Blacklisted,15 DPD,46007,,,12,4,8,0.002066382558,267,267,46034,1,0,1,3,No,,,,46190.65122
,IF0072,3BRODERS AUTOTRADE CAR TRADING,Malou Alfonso,Rose Batacan,0,1,0,0,0,0,0,0,40,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45943,,1,1,0,0,0,0,,0,0,0,0,No
,IF0073,EIGHTY-NINE CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,4,0,0,-0.002960000013,-0.002960000013,0,0,202.75,,284.5,,Blacklisted,Manual,45771,,,29,2,27,0,0,0,,0,0,0,2,No,45771,Emailed Endorsement,,46190.66594
,IF0074,A2E AUTO DISPLAY CENTER,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45950,,0,0,0,0,0,0,,0,0,0,0,No
,IF0075,DEMCARS AUTO TRADING,Malou Alfonso,Myrnalyn Bankingkito,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45950,,0,0,0,0,0,0,,0,0,0,0,No
,IF0076,FCT ENTERPRISE,Marah Luriely A. Villaruz,Elvira Ladea,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45959,,0,0,0,0,0,0,,0,0,0,0,No
,IF0077,DOHCGARAGE AUTO TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45959,,0,0,0,0,0,0,,0,0,0,0,No
,IF0078,D.A.B. CAR TRADING,Albert Dalupang,Marlon Llamas,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45954,,0,0,0,0,0,0,,0,0,0,0,No
,IF0079,DANIEL CAR TRADING,Albert Dalupang,Marlon Llamas,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45959,,0,0,0,0,0,0,,0,0,0,0,No
,IF0080,CARBREEZY CAR TRADING,Albert Dalupang,Zhesa Resurrecion,0,9,0,0,0,0,0,0,24.88888889,,9,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46157,,3,1,2,0,0,0,,0,0,0,0,No
,IF0081,D 3RD AUTODISPLAY AUTO SHOP,Albert Dalupang,Zhesa Resurrecion,2,181,0,27,8556086.858,8556086.858,0,8556086.858,85.68269231,,40.73529412,46091,Blacklisted,15 DPD,46091,,,398,296,102,0.02946691441,183,104,46231,103,57,46,5,Yes,,,,46190.65122
,IF0082,JERICO S. CRUZ-JSC AUTO TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,30,0,1,807000,807000,0,807000,36.70967742,,53,46177,Blacklisted,15 DPD,46177,,,22,18,4,0.002779284541,97,97,46184,3,3,0,0,No,,,,46195.66593
,IF0083,KAMCARS ENTERPRISE,Albert Dalupang,Marlon Llamas,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45959,,0,0,0,0,0,0,,0,0,0,0,No
,IF0084,KRT AUTO CARE SERVICES,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45978,,0,0,0,0,0,0,,0,0,0,0,No
,IF0085,BMQ CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,2,0,0,0,0,0,0,55,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46121,,3,3,0,0,0,0,,0,0,0,0,No
,IF0086,KENKENS CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45978,,0,0,0,0,0,0,,0,0,0,0,No
,IF0087,RM GARAGE. USED GOODS TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,1,0,0,0,0,0,0,7,,,,Open,Finsso: Open | Netbank: Expired CL,,45978,,0,0,0,0,0,0,,0,0,0,0,No
,IF0088,LARKD CAR TRADING,Malou Alfonso,Candyce Aguete,3,8,3,0,1297002,1297002,1297002,0,17.45454545,,,,Open,Finsso: Pending CLA Signature | Netbank: Open,,46064,,3,3,0,0.004466837185,0,0,,0,0,0,0,No
,IF0089,RAYMOND AUTO SHOP,Albert Dalupang,Marlon Llamas,0,5,0,0,0,0,0,0,95.2,,30.75,,Blacklisted,Manual,46006,,,11,5,6,0,0,0,,0,0,0,0,No,46006,Emailed Endorsement,,46190.65122
,IF0090,KARZ AUTO TRADING,Albert Dalupang,Zhesa Resurrecion,0,2,0,0,0,0,0,0,23,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45989,,2,1,1,0,0,0,,0,0,0,0,No
,IF0091,CADIZ CAR TRADING,Albert Dalupang,Jerome Cacayan,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Pending CLA Signature,,45629,,0,0,0,0,0,0,,0,0,0,0,No
,IF0092,AUTO D' VILLA,Albert Dalupang,Zhesa Resurrecion,0,5,0,0,0,0,0,0,107.6,,25.4,,Blacklisted,Manual,45944,,,26,21,5,0,0,0,,0,0,0,0,No,45944,Emailed Endorsement,,46190.66594
,IF0093,MACLOUIE CARS VEHICLE TRADING,Malou Alfonso,Rose Batacan,1,124,0,5,2458000,2458000,0,2458000,57.41860465,,27.05263158,46157,Blacklisted,15 DPD,46157,,,189,80,109,0.008465280547,117,112,46234,17,2,15,6,Yes,,,,46190.65122
,IF0094,GONZAPCARS CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,1,37,3,2,3244023.01,3244023.01,1880223.01,1363800,89.66666667,,19.95170635,46165,Blacklisted,15 DPD,46165,,,110,54,56,0.01117232094,109,76,46245,15,9,6,5,No,,,,46190.65122
,IF0095,MACABEBEST CAR SHOP,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Pending CLA Signature,,45631,,0,0,0,0,0,0,,0,0,0,0,No
,IF0096,VICTORYMIND CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,38,4,0,1151370,1151370,1151370,0,66.02380952,,3,,Open,Finsso: Open | Netbank: Expired CL,,46225,,45,39,6,0.00396528481,0,0,46274,9,5,4,1,No
,IF0097,JEMM CAR TRADING,Malou Alfonso,Rose Batacan,0,114,0,17,10664444.2,10664444.2,0,10664444.2,92.59541985,,47.2173913,46132,Blacklisted,15 DPD,46132,,,283,220,63,0.03672803581,142,77,46217,49,27,22,0,Yes,,,,46190.65122
,IF0098,BRO'S AUTODEALERS AUTO TRADING,Albert Dalupang,Marlon Llamas,0,13,0,0,0,0,0,0,36.92307692,,,,Open,Finsso: Open | Netbank: Pending CLA Signature,,45666.70417,,10,8,2,0,0,0,,0,0,0,0,No
,IF0099,KELVEN CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46044,,0,0,0,0,0,0,,0,0,0,0,No
,IF0100,EY7 CAR GARAHE VEHICLE TRADING,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46043,,0,0,0,0,0,0,,0,0,0,0,No
,IF0101,ADDTOCAR CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,18,2,0,1718000,1718000,1718000,0,44.1,,,,Open,,,,,10,8,2,0.005916742058,0,0,,0,0,0,0,No
